nb_calls,year,month,day,weekday,hour
100,2010,1,26,Tuesday,15
126,2010,1,26,Tuesday,16
84,2010,1,26,Tuesday,17
58,2010,1,26,Tuesday,18
61,2010,1,26,Tuesday,19
32,2010,1,26,Tuesday,20
43,2010,1,26,Tuesday,21
45,2010,1,26,Tuesday,22
37,2010,1,26,Tuesday,23
68,2010,1,27,Wednesday,0
24,2010,1,27,Wednesday,7
66,2010,1,27,Wednesday,8
86,2010,1,27,Wednesday,9
86,2010,1,27,Wednesday,10
81,2010,1,27,Wednesday,11
58,2010,1,27,Wednesday,13
81,2010,1,27,Wednesday,14
87,2010,1,27,Wednesday,15
51,2010,1,27,Wednesday,16
64,2010,1,27,Wednesday,17
49,2010,1,27,Wednesday,18
60,2010,1,27,Wednesday,19
42,2010,1,27,Wednesday,20
34,2010,1,27,Wednesday,21
36,2010,1,27,Wednesday,22
36,2010,1,27,Wednesday,23
83,2010,1,28,Thursday,0
3,2010,1,28,Thursday,1
1,2010,1,28,Thursday,2
2,2010,1,28,Thursday,5
4,2010,1,28,Thursday,6
27,2010,1,28,Thursday,7
78,2010,1,28,Thursday,8
88,2010,1,28,Thursday,9
101,2010,1,28,Thursday,10
79,2010,1,28,Thursday,11
78,2010,1,28,Thursday,13
95,2010,1,28,Thursday,14
102,2010,1,28,Thursday,15
148,2010,1,28,Thursday,16
68,2010,1,28,Thursday,17
48,2010,1,28,Thursday,18
39,2010,1,28,Thursday,19
37,2010,1,28,Thursday,20
33,2010,1,28,Thursday,21
40,2010,1,28,Thursday,22
37,2010,1,28,Thursday,23
57,2010,1,29,Friday,0
5,2010,1,29,Friday,1
1,2010,1,29,Friday,2
2,2010,1,29,Friday,6
22,2010,1,29,Friday,7
47,2010,1,29,Friday,8
64,2010,1,29,Friday,9
51,2010,1,29,Friday,10
54,2010,1,29,Friday,11
41,2010,1,29,Friday,13
25,2010,1,29,Friday,14
2,2010,1,29,Friday,15
1,2010,1,29,Friday,16
1,2010,1,29,Friday,17
1,2010,1,29,Friday,22
1,2010,1,29,Friday,23
1,2010,1,30,Saturday,9
2,2010,1,30,Saturday,10
1,2010,1,30,Saturday,11
2,2010,1,30,Saturday,13
1,2010,1,30,Saturday,15
2,2010,1,30,Saturday,18
41,2010,1,30,Saturday,19
33,2010,1,30,Saturday,20
28,2010,1,30,Saturday,21
30,2010,1,30,Saturday,22
18,2010,1,30,Saturday,23
87,2010,1,31,Sunday,0
1,2010,1,31,Sunday,1
1,2010,1,31,Sunday,2
1,2010,1,31,Sunday,3
1,2010,1,31,Sunday,5
5,2010,1,31,Sunday,6
29,2010,1,31,Sunday,7
79,2010,1,31,Sunday,8
81,2010,1,31,Sunday,9
104,2010,1,31,Sunday,10
81,2010,1,31,Sunday,11
89,2010,1,31,Sunday,13
93,2010,1,31,Sunday,14
92,2010,1,31,Sunday,15
156,2010,1,31,Sunday,16
76,2010,1,31,Sunday,17
61,2010,1,31,Sunday,18
65,2010,1,31,Sunday,19
44,2010,1,31,Sunday,20
34,2010,1,31,Sunday,21
32,2010,1,31,Sunday,22
24,2010,1,31,Sunday,23
97,2010,2,1,Monday,0
3,2010,2,1,Monday,1
1,2010,2,1,Monday,2
1,2010,2,1,Monday,5
9,2010,2,1,Monday,6
50,2010,2,1,Monday,7
136,2010,2,1,Monday,8
119,2010,2,1,Monday,9
111,2010,2,1,Monday,10
131,2010,2,1,Monday,11
106,2010,2,1,Monday,13
110,2010,2,1,Monday,14
97,2010,2,1,Monday,15
90,2010,2,1,Monday,16
71,2010,2,1,Monday,17
120,2010,2,1,Monday,18
70,2010,2,1,Monday,19
88,2010,2,1,Monday,20
62,2010,2,1,Monday,21
49,2010,2,1,Monday,22
46,2010,2,1,Monday,23
116,2010,2,2,Tuesday,0
2,2010,2,2,Tuesday,1
1,2010,2,2,Tuesday,2
4,2010,2,2,Tuesday,5
9,2010,2,2,Tuesday,6
58,2010,2,2,Tuesday,7
124,2010,2,2,Tuesday,8
133,2010,2,2,Tuesday,9
159,2010,2,2,Tuesday,10
131,2010,2,2,Tuesday,11
133,2010,2,2,Tuesday,13
133,2010,2,2,Tuesday,14
150,2010,2,2,Tuesday,15
157,2010,2,2,Tuesday,16
115,2010,2,2,Tuesday,17
82,2010,2,2,Tuesday,18
90,2010,2,2,Tuesday,19
67,2010,2,2,Tuesday,20
75,2010,2,2,Tuesday,21
51,2010,2,2,Tuesday,22
56,2010,2,2,Tuesday,23
109,2010,2,3,Wednesday,0
2,2010,2,3,Wednesday,1
2,2010,2,3,Wednesday,2
1,2010,2,3,Wednesday,4
1,2010,2,3,Wednesday,5
5,2010,2,3,Wednesday,6
41,2010,2,3,Wednesday,7
120,2010,2,3,Wednesday,8
108,2010,2,3,Wednesday,9
126,2010,2,3,Wednesday,10
126,2010,2,3,Wednesday,11
494,2010,2,3,Wednesday,13
145,2010,2,3,Wednesday,14
118,2010,2,3,Wednesday,15
65,2010,2,3,Wednesday,16
68,2010,2,3,Wednesday,17
83,2010,2,3,Wednesday,18
105,2010,2,3,Wednesday,19
66,2010,2,3,Wednesday,20
68,2010,2,3,Wednesday,21
50,2010,2,3,Wednesday,22
46,2010,2,3,Wednesday,23
90,2010,2,4,Thursday,0
1,2010,2,4,Thursday,5
2,2010,2,4,Thursday,6
32,2010,2,4,Thursday,7
66,2010,2,4,Thursday,8
96,2010,2,4,Thursday,9
117,2010,2,4,Thursday,10
91,2010,2,4,Thursday,11
88,2010,2,4,Thursday,13
95,2010,2,4,Thursday,14
106,2010,2,4,Thursday,15
154,2010,2,4,Thursday,16
106,2010,2,4,Thursday,17
81,2010,2,4,Thursday,18
71,2010,2,4,Thursday,19
62,2010,2,4,Thursday,20
34,2010,2,4,Thursday,21
43,2010,2,4,Thursday,22
36,2010,2,4,Thursday,23
81,2010,2,5,Friday,0
4,2010,2,5,Friday,2
1,2010,2,5,Friday,3
1,2010,2,5,Friday,4
1,2010,2,5,Friday,5
2,2010,2,5,Friday,6
28,2010,2,5,Friday,7
81,2010,2,5,Friday,8
69,2010,2,5,Friday,9
75,2010,2,5,Friday,10
95,2010,2,5,Friday,11
48,2010,2,5,Friday,13
22,2010,2,5,Friday,14
7,2010,2,5,Friday,15
4,2010,2,5,Friday,16
2,2010,2,5,Friday,19
1,2010,2,5,Friday,20
2,2010,2,6,Saturday,1
3,2010,2,6,Saturday,9
2,2010,2,6,Saturday,11
1,2010,2,6,Saturday,14
1,2010,2,6,Saturday,16
5,2010,2,6,Saturday,18
66,2010,2,6,Saturday,19
37,2010,2,6,Saturday,20
38,2010,2,6,Saturday,21
27,2010,2,6,Saturday,22
28,2010,2,6,Saturday,23
110,2010,2,7,Sunday,0
2,2010,2,7,Sunday,1
1,2010,2,7,Sunday,2
1,2010,2,7,Sunday,3
2,2010,2,7,Sunday,5
6,2010,2,7,Sunday,6
34,2010,2,7,Sunday,7
125,2010,2,7,Sunday,8
131,2010,2,7,Sunday,9
129,2010,2,7,Sunday,10
130,2010,2,7,Sunday,11
83,2010,2,7,Sunday,13
110,2010,2,7,Sunday,14
109,2010,2,7,Sunday,15
156,2010,2,7,Sunday,16
103,2010,2,7,Sunday,17
66,2010,2,7,Sunday,18
43,2010,2,7,Sunday,19
50,2010,2,7,Sunday,20
62,2010,2,7,Sunday,21
47,2010,2,7,Sunday,22
42,2010,2,7,Sunday,23
93,2010,2,8,Monday,0
4,2010,2,8,Monday,6
33,2010,2,8,Monday,7
75,2010,2,8,Monday,8
97,2010,2,8,Monday,9
119,2010,2,8,Monday,10
74,2010,2,8,Monday,11
79,2010,2,8,Monday,13
103,2010,2,8,Monday,14
82,2010,2,8,Monday,15
64,2010,2,8,Monday,16
60,2010,2,8,Monday,17
81,2010,2,8,Monday,18
66,2010,2,8,Monday,19
49,2010,2,8,Monday,20
32,2010,2,8,Monday,21
39,2010,2,8,Monday,22
40,2010,2,8,Monday,23
82,2010,2,9,Tuesday,0
1,2010,2,9,Tuesday,2
1,2010,2,9,Tuesday,4
3,2010,2,9,Tuesday,6
22,2010,2,9,Tuesday,7
61,2010,2,9,Tuesday,8
51,2010,2,9,Tuesday,9
81,2010,2,9,Tuesday,10
99,2010,2,9,Tuesday,11
73,2010,2,9,Tuesday,13
121,2010,2,9,Tuesday,14
115,2010,2,9,Tuesday,15
170,2010,2,9,Tuesday,16
133,2010,2,9,Tuesday,17
137,2010,2,9,Tuesday,18
58,2010,2,9,Tuesday,19
81,2010,2,9,Tuesday,20
66,2010,2,9,Tuesday,21
46,2010,2,9,Tuesday,22
35,2010,2,9,Tuesday,23
118,2010,2,10,Wednesday,0
1,2010,2,10,Wednesday,1
1,2010,2,10,Wednesday,4
9,2010,2,10,Wednesday,6
60,2010,2,10,Wednesday,7
114,2010,2,10,Wednesday,8
114,2010,2,10,Wednesday,9
135,2010,2,10,Wednesday,10
129,2010,2,10,Wednesday,11
99,2010,2,10,Wednesday,13
92,2010,2,10,Wednesday,14
123,2010,2,10,Wednesday,15
112,2010,2,10,Wednesday,16
87,2010,2,10,Wednesday,17
125,2010,2,10,Wednesday,18
92,2010,2,10,Wednesday,19
78,2010,2,10,Wednesday,20
77,2010,2,10,Wednesday,21
71,2010,2,10,Wednesday,22
60,2010,2,10,Wednesday,23
119,2010,2,11,Thursday,0
1,2010,2,11,Thursday,1
1,2010,2,11,Thursday,5
4,2010,2,11,Thursday,6
49,2010,2,11,Thursday,7
110,2010,2,11,Thursday,8
129,2010,2,11,Thursday,9
154,2010,2,11,Thursday,10
145,2010,2,11,Thursday,11
110,2010,2,11,Thursday,13
152,2010,2,11,Thursday,14
140,2010,2,11,Thursday,15
190,2010,2,11,Thursday,16
123,2010,2,11,Thursday,17
83,2010,2,11,Thursday,18
45,2010,2,11,Thursday,19
53,2010,2,11,Thursday,20
39,2010,2,11,Thursday,21
46,2010,2,11,Thursday,22
52,2010,2,11,Thursday,23
90,2010,2,12,Friday,0
1,2010,2,12,Friday,2
1,2010,2,12,Friday,3
1,2010,2,12,Friday,4
1,2010,2,12,Friday,5
1,2010,2,12,Friday,6
25,2010,2,12,Friday,7
82,2010,2,12,Friday,8
98,2010,2,12,Friday,9
84,2010,2,12,Friday,10
68,2010,2,12,Friday,11
56,2010,2,12,Friday,13
20,2010,2,12,Friday,14
5,2010,2,12,Friday,15
3,2010,2,12,Friday,16
1,2010,2,12,Friday,17
2,2010,2,12,Friday,18
5,2010,2,12,Friday,20
3,2010,2,12,Friday,21
2,2010,2,13,Saturday,14
3,2010,2,13,Saturday,15
3,2010,2,13,Saturday,16
4,2010,2,13,Saturday,17
9,2010,2,13,Saturday,18
73,2010,2,13,Saturday,19
48,2010,2,13,Saturday,20
33,2010,2,13,Saturday,21
31,2010,2,13,Saturday,22
40,2010,2,13,Saturday,23
80,2010,2,14,Sunday,0
2,2010,2,14,Sunday,1
1,2010,2,14,Sunday,5
5,2010,2,14,Sunday,6
32,2010,2,14,Sunday,7
87,2010,2,14,Sunday,8
112,2010,2,14,Sunday,9
124,2010,2,14,Sunday,10
89,2010,2,14,Sunday,11
78,2010,2,14,Sunday,13
79,2010,2,14,Sunday,14
83,2010,2,14,Sunday,15
117,2010,2,14,Sunday,16
105,2010,2,14,Sunday,17
51,2010,2,14,Sunday,18
48,2010,2,14,Sunday,19
45,2010,2,14,Sunday,20
254,2010,2,14,Sunday,21
165,2010,2,14,Sunday,22
31,2010,2,14,Sunday,23
101,2010,2,15,Monday,0
4,2010,2,15,Monday,1
2,2010,2,15,Monday,5
9,2010,2,15,Monday,6
34,2010,2,15,Monday,7
101,2010,2,15,Monday,8
119,2010,2,15,Monday,9
116,2010,2,15,Monday,10
111,2010,2,15,Monday,11
115,2010,2,15,Monday,13
136,2010,2,15,Monday,14
137,2010,2,15,Monday,15
109,2010,2,15,Monday,16
76,2010,2,15,Monday,17
91,2010,2,15,Monday,18
63,2010,2,15,Monday,19
46,2010,2,15,Monday,20
54,2010,2,15,Monday,21
52,2010,2,15,Monday,22
34,2010,2,15,Monday,23
105,2010,2,16,Tuesday,0
3,2010,2,16,Tuesday,1
1,2010,2,16,Tuesday,2
2,2010,2,16,Tuesday,3
1,2010,2,16,Tuesday,4
2,2010,2,16,Tuesday,5
4,2010,2,16,Tuesday,6
52,2010,2,16,Tuesday,7
117,2010,2,16,Tuesday,8
141,2010,2,16,Tuesday,9
159,2010,2,16,Tuesday,10
150,2010,2,16,Tuesday,11
135,2010,2,16,Tuesday,13
107,2010,2,16,Tuesday,14
118,2010,2,16,Tuesday,15
128,2010,2,16,Tuesday,16
116,2010,2,16,Tuesday,17
74,2010,2,16,Tuesday,18
76,2010,2,16,Tuesday,19
65,2010,2,16,Tuesday,20
68,2010,2,16,Tuesday,21
61,2010,2,16,Tuesday,22
41,2010,2,16,Tuesday,23
98,2010,2,17,Wednesday,0
3,2010,2,17,Wednesday,1
2,2010,2,17,Wednesday,2
3,2010,2,17,Wednesday,6
34,2010,2,17,Wednesday,7
91,2010,2,17,Wednesday,8
132,2010,2,17,Wednesday,9
133,2010,2,17,Wednesday,10
120,2010,2,17,Wednesday,11
138,2010,2,17,Wednesday,13
117,2010,2,17,Wednesday,14
112,2010,2,17,Wednesday,15
60,2010,2,17,Wednesday,16
76,2010,2,17,Wednesday,17
71,2010,2,17,Wednesday,18
78,2010,2,17,Wednesday,19
59,2010,2,17,Wednesday,20
53,2010,2,17,Wednesday,21
55,2010,2,17,Wednesday,22
38,2010,2,17,Wednesday,23
94,2010,2,18,Thursday,0
1,2010,2,18,Thursday,1
1,2010,2,18,Thursday,2
12,2010,2,18,Thursday,6
31,2010,2,18,Thursday,7
87,2010,2,18,Thursday,8
86,2010,2,18,Thursday,9
134,2010,2,18,Thursday,10
119,2010,2,18,Thursday,11
95,2010,2,18,Thursday,13
121,2010,2,18,Thursday,14
121,2010,2,18,Thursday,15
125,2010,2,18,Thursday,16
88,2010,2,18,Thursday,17
64,2010,2,18,Thursday,18
50,2010,2,18,Thursday,19
51,2010,2,18,Thursday,20
41,2010,2,18,Thursday,21
37,2010,2,18,Thursday,22
29,2010,2,18,Thursday,23
72,2010,2,19,Friday,0
1,2010,2,19,Friday,1
1,2010,2,19,Friday,2
1,2010,2,19,Friday,3
