nb_calls,reason,year,month,day,weekday,hour
11,TT,2010,1,4,Monday,16
3,NE,2010,1,4,Monday,17
9,NW,2010,1,4,Monday,17
1,PE,2010,1,4,Monday,17
99,PS,2010,1,4,Monday,17
14,TT,2010,1,4,Monday,17
1,IN,2010,1,4,Monday,18
2,NE,2010,1,4,Monday,18
15,NW,2010,1,4,Monday,18
64,PS,2010,1,4,Monday,18
13,TT,2010,1,4,Monday,18
1,IN,2010,1,4,Monday,19
6,NE,2010,1,4,Monday,19
8,NW,2010,1,4,Monday,19
2,PE,2010,1,4,Monday,19
58,PS,2010,1,4,Monday,19
7,TT,2010,1,4,Monday,19
1,IN,2010,1,4,Monday,20
10,NW,2010,1,4,Monday,20
59,PS,2010,1,4,Monday,20
3,TT,2010,1,4,Monday,20
2,NE,2010,1,4,Monday,21
6,NW,2010,1,4,Monday,21
65,PS,2010,1,4,Monday,21
1,TT,2010,1,4,Monday,21
1,NW,2010,1,4,Monday,22
1,PE,2010,1,4,Monday,22
57,PS,2010,1,4,Monday,22
1,TT,2010,1,4,Monday,22
1,IN,2010,1,4,Monday,23
3,NE,2010,1,4,Monday,23
3,NW,2010,1,4,Monday,23
43,PS,2010,1,4,Monday,23
3,TT,2010,1,4,Monday,23
10,NE,2010,1,5,Tuesday,0
13,NW,2010,1,5,Tuesday,0
78,PS,2010,1,5,Tuesday,0
2,TT,2010,1,5,Tuesday,0
2,NW,2010,1,5,Tuesday,1
1,PS,2010,1,5,Tuesday,3
1,NW,2010,1,5,Tuesday,5
2,TT,2010,1,5,Tuesday,6
2,IN,2010,1,5,Tuesday,7
1,NE,2010,1,5,Tuesday,7
1,NW,2010,1,5,Tuesday,7
25,PS,2010,1,5,Tuesday,7
1,TT,2010,1,5,Tuesday,7
1,IN,2010,1,5,Tuesday,8
2,NE,2010,1,5,Tuesday,8
56,NW,2010,1,5,Tuesday,8
68,PS,2010,1,5,Tuesday,8
1,TT,2010,1,5,Tuesday,8
1,IN,2010,1,5,Tuesday,9
11,NE,2010,1,5,Tuesday,9
8,NW,2010,1,5,Tuesday,9
1,PE,2010,1,5,Tuesday,9
90,PS,2010,1,5,Tuesday,9
2,TT,2010,1,5,Tuesday,9
5,IN,2010,1,5,Tuesday,10
11,NE,2010,1,5,Tuesday,10
6,NW,2010,1,5,Tuesday,10
1,PE,2010,1,5,Tuesday,10
94,PS,2010,1,5,Tuesday,10
4,TT,2010,1,5,Tuesday,10
9,NE,2010,1,5,Tuesday,11
10,NW,2010,1,5,Tuesday,11
105,PS,2010,1,5,Tuesday,11
2,TT,2010,1,5,Tuesday,11
8,NE,2010,1,5,Tuesday,13
11,NW,2010,1,5,Tuesday,13
86,PS,2010,1,5,Tuesday,13
4,TT,2010,1,5,Tuesday,13
3,NE,2010,1,5,Tuesday,14
10,NW,2010,1,5,Tuesday,14
1,PE,2010,1,5,Tuesday,14
102,PS,2010,1,5,Tuesday,14
5,TT,2010,1,5,Tuesday,14
1,IN,2010,1,5,Tuesday,15
12,NE,2010,1,5,Tuesday,15
23,NW,2010,1,5,Tuesday,15
1,PE,2010,1,5,Tuesday,15
91,PS,2010,1,5,Tuesday,15
4,TT,2010,1,5,Tuesday,15
2,NE,2010,1,5,Tuesday,16
98,NW,2010,1,5,Tuesday,16
58,PS,2010,1,5,Tuesday,16
2,TT,2010,1,5,Tuesday,16
1,IN,2010,1,5,Tuesday,17
2,NE,2010,1,5,Tuesday,17
46,NW,2010,1,5,Tuesday,17
61,PS,2010,1,5,Tuesday,17
4,IN,2010,1,5,Tuesday,18
5,NE,2010,1,5,Tuesday,18
18,NW,2010,1,5,Tuesday,18
65,PS,2010,1,5,Tuesday,18
1,TT,2010,1,5,Tuesday,18
1,IN,2010,1,5,Tuesday,19
1,NE,2010,1,5,Tuesday,19
6,NW,2010,1,5,Tuesday,19
54,PS,2010,1,5,Tuesday,19
1,IN,2010,1,5,Tuesday,20
5,NE,2010,1,5,Tuesday,20
7,NW,2010,1,5,Tuesday,20
49,PS,2010,1,5,Tuesday,20
2,NE,2010,1,5,Tuesday,21
9,NW,2010,1,5,Tuesday,21
37,PS,2010,1,5,Tuesday,21
2,NE,2010,1,5,Tuesday,22
10,NW,2010,1,5,Tuesday,22
54,PS,2010,1,5,Tuesday,22
2,TT,2010,1,5,Tuesday,22
2,NE,2010,1,5,Tuesday,23
2,NW,2010,1,5,Tuesday,23
33,PS,2010,1,5,Tuesday,23
2,IN,2010,1,6,Wednesday,0
6,NE,2010,1,6,Wednesday,0
11,NW,2010,1,6,Wednesday,0
81,PS,2010,1,6,Wednesday,0
1,TT,2010,1,6,Wednesday,0
1,PS,2010,1,6,Wednesday,1
1,PS,2010,1,6,Wednesday,2
1,PS,2010,1,6,Wednesday,5
3,PS,2010,1,6,Wednesday,6
4,NW,2010,1,6,Wednesday,7
27,PS,2010,1,6,Wednesday,7
1,NE,2010,1,6,Wednesday,8
43,NW,2010,1,6,Wednesday,8
53,PS,2010,1,6,Wednesday,8
9,NE,2010,1,6,Wednesday,9
5,NW,2010,1,6,Wednesday,9
1,PE,2010,1,6,Wednesday,9
85,PS,2010,1,6,Wednesday,9
1,TT,2010,1,6,Wednesday,9
1,IN,2010,1,6,Wednesday,10
14,NE,2010,1,6,Wednesday,10
13,NW,2010,1,6,Wednesday,10
1,PE,2010,1,6,Wednesday,10
98,PS,2010,1,6,Wednesday,10
1,TT,2010,1,6,Wednesday,10
2,IN,2010,1,6,Wednesday,11
7,NE,2010,1,6,Wednesday,11
12,NW,2010,1,6,Wednesday,11
72,PS,2010,1,6,Wednesday,11
2,TT,2010,1,6,Wednesday,11
2,IN,2010,1,6,Wednesday,13
6,NE,2010,1,6,Wednesday,13
11,NW,2010,1,6,Wednesday,13
1,PE,2010,1,6,Wednesday,13
84,PS,2010,1,6,Wednesday,13
1,IN,2010,1,6,Wednesday,14
8,NE,2010,1,6,Wednesday,14
8,NW,2010,1,6,Wednesday,14
3,PE,2010,1,6,Wednesday,14
92,PS,2010,1,6,Wednesday,14
3,NE,2010,1,6,Wednesday,15
16,NW,2010,1,6,Wednesday,15
88,PS,2010,1,6,Wednesday,15
