nb_calls,reason,year,month,day,weekday,hour
70,PS,2010,1,7,Thursday,8
9,NE,2010,1,7,Thursday,8
24,PS,2010,1,7,Thursday,8
23,NW,2010,1,7,Thursday,9
24,PS,2010,1,7,Thursday,9
76,PS,2010,1,7,Thursday,9
29,NW,2010,1,7,Thursday,10
29,PS,2010,1,7,Thursday,10
61,PS,2010,1,7,Thursday,10
46,PS,2010,1,7,Thursday,11
14,PS,2010,1,7,Thursday,11
48,PS,2010,1,7,Thursday,11
24,PS,2010,1,7,Thursday,13
15,PS,2010,1,7,Thursday,13
36,PS,2010,1,7,Thursday,13
30,NE,2010,1,7,Thursday,14
53,PS,2010,1,7,Thursday,14
70,PS,2010,1,7,Thursday,14
29,NW,2010,1,7,Thursday,15
30,PS,2010,1,7,Thursday,15
82,NE,2010,1,7,Thursday,15
137,PS,2010,1,7,Thursday,16
22,PS,2010,1,7,Thursday,16
52,PS,2010,1,7,Thursday,16
105,NW,2010,1,7,Thursday,17
9,PS,2010,1,7,Thursday,17
23,PS,2010,1,7,Thursday,17
117,NW,2010,1,7,Thursday,18
3,PS,2010,1,7,Thursday,18
8,TT,2010,1,7,Thursday,18
50,PS,2010,1,7,Thursday,19
1,PS,2010,1,7,Thursday,19
4,PS,2010,1,7,Thursday,19
34,PS,2010,1,7,Thursday,20
1,PS,2010,1,7,Thursday,20
4,PS,2010,1,7,Thursday,20
34,PS,2010,1,7,Thursday,21
2,PS,2010,1,7,Thursday,21
4,PS,2010,1,7,Thursday,21
26,PS,2010,1,7,Thursday,22
4,PS,2010,1,7,Thursday,22
6,PS,2010,1,7,Thursday,22
16,PS,2010,1,7,Thursday,23
7,PS,2010,1,7,Thursday,23
21,PS,2010,1,7,Thursday,23
44,NW,2010,1,8,Friday,0
2,PS,2010,1,8,Friday,0
17,PS,2010,1,8,Friday,0
1,PS,2010,1,8,Friday,2
1,PS,2010,1,8,Friday,5
1,PS,2010,1,8,Friday,6
21,PS,2010,1,8,Friday,7
1,PS,2010,1,8,Friday,7
1,PS,2010,1,8,Friday,7
75,NW,2010,1,8,Friday,8
2,PS,2010,1,8,Friday,8
47,NW,2010,1,8,Friday,9
6,PS,2010,1,8,Friday,9
3,PS,2010,1,8,Friday,9
45,PS,2010,1,8,Friday,10
10,PS,2010,1,8,Friday,10
17,PS,2010,1,8,Friday,10
55,PS,2010,1,8,Friday,11
6,PS,2010,1,8,Friday,11
6,PS,2010,1,8,Friday,11
30,PS,2010,1,8,Friday,13
2,PS,2010,1,8,Friday,13
14,PS,2010,1,8,Friday,13
22,PS,2010,1,8,Friday,14
1,PS,2010,1,8,Friday,14
2,NW,2010,1,8,Friday,15
1,NW,2010,1,8,Friday,16
3,NW,2010,1,8,Friday,19
2,NW,2010,1,8,Friday,20
1,NW,2010,1,8,Friday,21
1,NW,2010,1,9,Saturday,10
1,NW,2010,1,9,Saturday,15
1,NW,2010,1,9,Saturday,17
20,PS,2010,1,9,Saturday,18
38,PS,2010,1,9,Saturday,19
5,PS,2010,1,9,Saturday,19
15,PS,2010,1,9,Saturday,19
28,NW,2010,1,9,Saturday,20
8,PS,2010,1,9,Saturday,20
5,PS,2010,1,9,Saturday,20
30,PS,2010,1,9,Saturday,21
2,PS,2010,1,9,Saturday,21
4,PS,2010,1,9,Saturday,21
17,PS,2010,1,9,Saturday,22
5,PS,2010,1,9,Saturday,22
6,TT,2010,1,9,Saturday,22
