year,month,day,hour,reason
2016,11,14,4,TT
2016,11,14,5,TT
2016,11,14,6,TT
2016,11,14,7,TT
2016,11,14,8,TT
2016,11,14,9,TT
2016,11,14,10,TT
2016,11,14,11,TT
2016,11,14,12,TT
2016,11,14,13,TT
2016,11,14,14,TT
2016,11,14,15,TT
2016,11,14,16,TT
2016,11,14,17,TT
2016,11,14,18,TT
2016,11,14,19,TT
2016,11,14,20,TT
2016,11,14,21,TT
2016,11,14,22,TT
2016,11,14,23,TT
2016,11,15,0,TT
2016,11,15,1,TT
2016,11,15,2,TT
2016,11,15,3,TT
2016,11,15,4,TT
2016,11,15,5,TT
2016,11,15,6,TT
2016,11,15,7,TT
2016,11,15,8,TT
2016,11,15,9,TT
2016,11,15,10,TT
2016,11,15,11,TT
2016,11,15,12,TT
2016,11,15,13,TT
2016,11,15,14,TT
2016,11,15,15,TT
2016,11,15,16,TT
2016,11,15,17,TT
2016,11,15,18,TT
2016,11,15,19,TT
2016,11,15,20,TT
2016,11,15,21,TT
2016,11,15,22,TT
2016,11,15,23,TT
2016,11,16,0,TT
2016,11,16,1,TT
2016,11,16,2,TT
2016,11,16,3,TT
2016,11,16,4,TT
2016,11,16,5,TT
2016,11,16,6,TT
2016,11,16,7,TT
2016,11,16,8,TT
2016,11,16,9,TT
2016,11,16,10,TT
2016,11,16,11,TT
2016,11,16,12,TT
2016,11,16,13,TT
2016,11,16,14,TT
2016,11,16,15,TT
2016,11,16,16,TT
2016,11,16,17,TT
2016,11,16,18,TT
2016,11,16,19,TT
2016,11,16,20,TT
2016,11,16,21,TT
2016,11,16,22,TT
2016,11,16,23,TT
2016,11,17,0,TT
2016,11,17,1,TT
2016,11,17,2,TT
2016,11,17,3,TT
2016,11,17,4,TT
2016,11,17,5,TT
2016,11,17,6,TT
2016,11,17,7,TT
2016,11,17,8,TT
2016,11,17,9,TT
2016,11,17,10,TT
2016,11,17,11,TT
2016,11,17,12,TT
2016,11,17,13,TT
2016,11,17,14,TT
2016,11,17,15,TT
2016,11,17,16,TT
2016,11,17,17,TT
2016,11,17,18,TT
2016,11,17,19,TT
2016,11,17,20,TT
2016,11,17,21,TT
2016,11,17,22,TT
2016,11,17,23,TT
2016,11,18,0,TT
2016,11,18,1,TT
2016,11,18,2,TT
2016,11,18,3,TT
2016,11,18,4,TT
2016,11,18,5,TT
2016,11,18,6,TT
2016,11,18,7,TT
2016,11,18,8,TT
2016,11,18,9,TT
2016,11,18,10,TT
2016,11,18,11,TT
2016,11,18,12,TT
2016,11,18,13,TT
2016,11,18,14,TT
2016,11,18,15,TT
2016,11,18,16,TT
2016,11,18,17,TT
2016,11,18,18,TT
2016,11,18,19,TT
2016,11,18,20,TT
2016,11,18,21,TT
2016,11,18,22,TT
2016,11,18,23,TT
2016,11,19,0,TT
2016,11,19,1,TT
2016,11,19,2,TT
2016,11,19,3,TT
2016,11,19,4,TT
2016,11,19,5,TT
2016,11,19,6,TT
2016,11,19,7,TT
2016,11,19,8,TT
2016,11,19,9,TT
2016,11,19,10,TT
2016,11,19,11,TT
2016,11,19,12,TT
2016,11,19,13,TT
2016,11,19,14,TT
2016,11,19,15,TT
2016,11,19,16,TT
2016,11,19,17,TT
2016,11,19,18,TT
2016,11,19,19,TT
2016,11,19,20,TT
2016,11,19,21,TT
2016,11,19,22,TT
2016,11,19,23,TT
2016,11,20,0,TT
2016,11,20,1,TT
2016,11,20,2,TT
2016,11,20,3,TT
2016,11,20,4,TT
2016,11,20,5,TT
2016,11,20,6,TT
2016,11,20,7,TT
2016,11,20,8,TT
2016,11,20,9,TT
2016,11,20,10,TT
2016,11,20,11,TT
2016,11,20,12,TT
2016,11,20,13,TT
2016,11,20,14,TT
2016,11,20,15,TT
2016,11,20,16,TT
2016,11,20,17,TT
2016,11,20,18,TT
2016,11,20,19,TT
2016,11,20,20,TT
2016,11,20,21,TT
2016,11,20,22,TT
2016,11,20,23,TT
2016,11,21,0,TT
2016,11,21,1,TT
2016,11,21,2,TT
2016,11,21,3,TT
2016,11,21,4,TT
2016,11,21,5,TT
2016,11,21,6,TT
2016,11,21,7,TT
2016,11,21,8,TT
2016,11,21,9,TT
2016,11,21,10,TT
2016,11,21,11,TT
2016,11,21,12,TT
2016,11,21,13,TT
2016,11,21,14,TT
2016,11,21,15,TT
2016,11,21,16,TT
2016,11,21,17,TT
2016,11,21,18,TT
2016,11,21,19,TT
2016,11,21,20,TT
2016,11,21,21,TT
2016,11,21,22,TT
2016,11,21,23,TT
2016,11,22,0,TT
2016,11,22,1,TT
2016,11,22,2,TT
2016,11,22,3,TT
2016,11,22,4,TT
2016,11,22,5,TT
2016,11,22,6,TT
2016,11,22,7,TT
2016,11,22,8,TT
2016,11,22,9,TT
2016,11,22,10,TT
2016,11,22,11,TT
2016,11,22,12,TT
2016,11,22,13,TT
2016,11,22,14,TT
2016,11,22,15,TT
2016,11,22,16,TT
2016,11,22,17,TT
2016,11,22,18,TT
2016,11,22,19,TT
2016,11,22,20,TT
2016,11,22,21,TT
2016,11,22,22,TT
2016,11,22,23,TT
2016,11,23,0,TT
2016,11,23,1,TT
2016,11,23,2,TT
2016,11,23,3,TT
2016,11,23,4,TT
2016,11,23,5,TT
2016,11,23,6,TT
2016,11,23,7,TT
2016,11,23,8,TT
2016,11,23,9,TT
2016,11,23,10,TT
2016,11,23,11,TT
2016,11,23,12,TT
2016,11,23,13,TT
2016,11,23,14,TT
2016,11,23,15,TT
2016,11,23,16,TT
2016,11,23,17,TT
2016,11,23,18,TT
2016,11,23,19,TT
2016,11,23,20,TT
2016,11,23,21,TT
2016,11,23,22,TT
2016,11,23,23,TT
2016,11,24,0,TT
2016,11,24,1,TT
2016,11,24,2,TT
2016,11,24,3,TT
2016,11,24,4,TT
2016,11,24,5,TT
2016,11,24,6,TT
2016,11,24,7,TT
2016,11,24,8,TT
2016,11,24,9,TT
2016,11,24,10,TT
2016,11,24,11,TT
2016,11,24,12,TT
2016,11,24,13,TT
2016,11,24,14,TT
2016,11,24,15,TT
2016,11,24,16,TT
2016,11,24,17,TT
2016,11,24,18,TT
2016,11,24,19,TT
2016,11,24,20,TT
2016,11,24,21,TT
2016,11,24,22,TT
2016,11,24,23,TT
2016,11,25,0,TT
2016,11,25,1,TT
2016,11,25,2,TT
2016,11,25,3,TT
2016,11,25,4,TT
2016,11,25,5,TT
2016,11,25,6,TT
2016,11,25,7,TT
2016,11,25,8,TT
2016,11,25,9,TT
2016,11,25,10,TT
2016,11,25,11,TT
2016,11,25,12,TT
2016,11,25,13,TT
2016,11,25,14,TT
2016,11,25,15,TT
2016,11,25,16,TT
2016,11,25,17,TT
2016,11,25,18,TT
2016,11,25,19,TT
2016,11,25,20,TT
2016,11,25,21,TT
2016,11,25,22,TT
2016,11,25,23,TT
2016,11,26,0,TT
2016,11,26,1,TT
2016,11,26,2,TT
2016,11,26,3,TT
2016,11,26,4,TT
2016,11,26,5,TT
2016,11,26,6,TT
2016,11,26,7,TT
2016,11,26,8,TT
2016,11,26,9,TT
2016,11,26,10,TT
2016,11,26,11,TT
2016,11,26,12,TT
2016,11,26,13,TT
2016,11,26,14,TT
2016,11,26,15,TT
2016,11,26,16,TT
2016,11,26,17,TT
2016,11,26,18,TT
2016,11,26,19,TT
2016,11,26,20,TT
2016,11,26,21,TT
2016,11,26,22,TT
2016,11,26,23,TT
2016,11,27,0,TT
2016,11,27,1,TT
2016,11,27,2,TT
2016,11,27,3,TT
2016,11,27,4,TT
2016,11,27,5,TT
2016,11,27,6,TT
2016,11,27,7,TT
2016,11,27,8,TT
2016,11,27,9,TT
2016,11,27,10,TT
2016,11,27,11,TT
2016,11,27,12,TT
2016,11,27,13,TT
2016,11,27,14,TT
2016,11,27,15,TT
2016,11,27,16,TT
2016,11,27,17,TT
2016,11,27,18,TT
2016,11,27,19,TT
2016,11,27,20,TT
2016,11,27,21,TT
2016,11,27,22,TT
2016,11,27,23,TT
2016,11,28,0,AA
2016,11,28,1,AA
2016,11,28,2,AA
2016,11,28,3,AA
2016,11,28,4,AA
2016,11,28,5,AA
2016,11,28,6,AA
2016,11,28,7,AA
2016,11,28,8,AA
2016,11,28,9,AA
2016,11,28,10,AA
2016,11,28,11,AA
2016,11,28,12,AA
2016,11,28,13,AA
2016,11,28,14,AA
2016,11,28,15,AA
2016,11,28,16,AA
2016,11,28,17,AA
2016,11,28,18,AA
2016,11,28,19,AA
2016,11,28,20,AA
2016,11,28,21,AA
2016,11,28,22,AA
2016,11,28,23,AA
2016,11,29,0,AA
2016,11,29,1,AA
2016,11,29,2,AA
2016,11,29,3,AA
2016,11,29,4,AA
2016,11,29,5,AA
2016,11,29,6,AA
2016,11,29,7,AA
2016,11,29,8,AA
2016,11,29,9,AA
2016,11,29,10,AA
2016,11,29,11,AA
2016,11,29,12,AA
2016,11,29,13,AA
2016,11,29,14,AA
2016,11,29,15,AA
2016,11,29,16,AA
2016,11,29,17,AA
2016,11,29,18,AA
2016,11,29,19,AA
2016,11,29,20,AA
2016,11,29,21,AA
2016,11,29,22,AA
2016,11,29,23,AA
2016,11,30,0,AA
2016,11,30,1,AA
