year,month,day,weekday,hour
2016,12,14,Wednesday,5
2016,12,14,Wednesday,6
2016,12,14,Wednesday,7
2016,12,14,Wednesday,8
2016,12,14,Wednesday,9
2016,12,14,Wednesday,10
2016,12,14,Wednesday,11
2016,12,14,Wednesday,12
2016,12,14,Wednesday,13
2016,12,14,Wednesday,14
2016,12,14,Wednesday,15
2016,12,14,Wednesday,16
2016,12,14,Wednesday,17
2016,12,14,Wednesday,18
2016,12,14,Wednesday,19
2016,12,14,Wednesday,20
2016,12,14,Wednesday,21
2016,12,14,Wednesday,22
2016,12,14,Wednesday,23
2016,12,15,Thursday,0
2016,12,15,Thursday,1
2016,12,15,Thursday,2
2016,12,15,Thursday,3
2016,12,15,Thursday,4
2016,12,15,Thursday,5
2016,12,15,Thursday,6
2016,12,15,Thursday,7
2016,12,15,Thursday,8
2016,12,15,Thursday,9
2016,12,15,Thursday,10
2016,12,15,Thursday,11
2016,12,15,Thursday,12
2016,12,15,Thursday,13
2016,12,15,Thursday,14
2016,12,15,Thursday,15
2016,12,15,Thursday,16
2016,12,15,Thursday,17
2016,12,15,Thursday,18
2016,12,15,Thursday,19
2016,12,15,Thursday,20
2016,12,15,Thursday,21
2016,12,15,Thursday,22
2016,12,15,Thursday,23
2016,12,16,Friday,0
2016,12,16,Friday,1
2016,12,16,Friday,2
2016,12,16,Friday,3
2016,12,16,Friday,4
2016,12,16,Friday,5
2016,12,16,Friday,6
2016,12,16,Friday,7
2016,12,16,Friday,8
2016,12,16,Friday,9
2016,12,16,Friday,10
2016,12,16,Friday,11
2016,12,16,Friday,12
2016,12,16,Friday,13
2016,12,16,Friday,14
2016,12,16,Friday,15
2016,12,16,Friday,16
2016,12,16,Friday,17
2016,12,16,Friday,18
2016,12,16,Friday,19
2016,12,16,Friday,20
2016,12,16,Friday,21
2016,12,16,Friday,22
2016,12,16,Friday,23
2016,12,17,Saturday,0
2016,12,17,Saturday,1
2016,12,17,Saturday,2
2016,12,17,Saturday,3
2016,12,17,Saturday,4
2016,12,17,Saturday,5
2016,12,17,Saturday,6
2016,12,17,Saturday,7
2016,12,17,Saturday,8
2016,12,17,Saturday,9
2016,12,17,Saturday,10
2016,12,17,Saturday,11
2016,12,17,Saturday,12
2016,12,17,Saturday,13
2016,12,17,Saturday,14
2016,12,17,Saturday,15
2016,12,17,Saturday,16
2016,12,17,Saturday,17
2016,12,17,Saturday,18
2016,12,17,Saturday,19
2016,12,17,Saturday,20
2016,12,17,Saturday,21
2016,12,17,Saturday,22
2016,12,17,Saturday,23
2016,12,18,Sunday,0
2016,12,18,Sunday,1
2016,12,18,Sunday,2
2016,12,18,Sunday,3
2016,12,18,Sunday,4
2016,12,18,Sunday,5
2016,12,18,Sunday,6
2016,12,18,Sunday,7
2016,12,18,Sunday,8
2016,12,18,Sunday,9
2016,12,18,Sunday,10
2016,12,18,Sunday,11
2016,12,18,Sunday,12
2016,12,18,Sunday,13
2016,12,18,Sunday,14
2016,12,18,Sunday,15
2016,12,18,Sunday,16
2016,12,18,Sunday,17
2016,12,18,Sunday,18
2016,12,18,Sunday,19
2016,12,18,Sunday,20
2016,12,18,Sunday,21
2016,12,18,Sunday,22
2016,12,18,Sunday,23
2016,12,19,Monday,0
2016,12,19,Monday,1
2016,12,19,Monday,2
2016,12,19,Monday,3
2016,12,19,Monday,4
2016,12,19,Monday,5
2016,12,19,Monday,6
2016,12,19,Monday,7
2016,12,19,Monday,8
2016,12,19,Monday,9
2016,12,19,Monday,10
2016,12,19,Monday,11
2016,12,19,Monday,12
2016,12,19,Monday,13
2016,12,19,Monday,14
2016,12,19,Monday,15
2016,12,19,Monday,16
2016,12,19,Monday,17
2016,12,19,Monday,18
2016,12,19,Monday,19
2016,12,19,Monday,20
2016,12,19,Monday,21
2016,12,19,Monday,22
2016,12,19,Monday,23
2016,12,20,Tuesday,0
2016,12,20,Tuesday,1
2016,12,20,Tuesday,2
2016,12,20,Tuesday,3
2016,12,20,Tuesday,4
2016,12,20,Tuesday,5
2016,12,20,Tuesday,6
2016,12,20,Tuesday,7
2016,12,20,Tuesday,8
2016,12,20,Tuesday,9
2016,12,20,Tuesday,10
2016,12,20,Tuesday,11
2016,12,20,Tuesday,12
2016,12,20,Tuesday,13
2016,12,20,Tuesday,14
2016,12,20,Tuesday,15
2016,12,20,Tuesday,16
2016,12,20,Tuesday,17
2016,12,20,Tuesday,18
2016,12,20,Tuesday,19
2016,12,20,Tuesday,20
2016,12,20,Tuesday,21
2016,12,20,Tuesday,22
2016,12,20,Tuesday,23
2016,12,21,Wednesday,0
2016,12,21,Wednesday,1
2016,12,21,Wednesday,2
2016,12,21,Wednesday,3
2016,12,21,Wednesday,4
2016,12,21,Wednesday,5
2016,12,21,Wednesday,6
2016,12,21,Wednesday,7
2016,12,21,Wednesday,8
2016,12,21,Wednesday,9
2016,12,21,Wednesday,10
2016,12,21,Wednesday,11
2016,12,21,Wednesday,12
2016,12,21,Wednesday,13
2016,12,21,Wednesday,14
2016,12,21,Wednesday,15
2016,12,21,Wednesday,16
2016,12,21,Wednesday,17
2016,12,21,Wednesday,18
2016,12,21,Wednesday,19
2016,12,21,Wednesday,20
2016,12,21,Wednesday,21
2016,12,21,Wednesday,22
2016,12,21,Wednesday,23
2016,12,22,Thursday,0
2016,12,22,Thursday,1
2016,12,22,Thursday,2
2016,12,22,Thursday,3
2016,12,22,Thursday,4
2016,12,22,Thursday,5
2016,12,22,Thursday,6
2016,12,22,Thursday,7
2016,12,22,Thursday,8
2016,12,22,Thursday,9
2016,12,22,Thursday,10
2016,12,22,Thursday,11
2016,12,22,Thursday,12
2016,12,22,Thursday,13
2016,12,22,Thursday,14
2016,12,22,Thursday,15
2016,12,22,Thursday,16
2016,12,22,Thursday,17
2016,12,22,Thursday,18
2016,12,22,Thursday,19
2016,12,22,Thursday,20
2016,12,22,Thursday,21
2016,12,22,Thursday,22
2016,12,22,Thursday,23
2016,12,23,Friday,0
2016,12,23,Friday,1
2016,12,23,Friday,2
2016,12,23,Friday,3
2016,12,23,Friday,4
2016,12,23,Friday,5
2016,12,23,Friday,6
2016,12,23,Friday,7
2016,12,23,Friday,8
2016,12,23,Friday,9
2016,12,23,Friday,10
2016,12,23,Friday,11
2016,12,23,Friday,12
2016,12,23,Friday,13
2016,12,23,Friday,14
2016,12,23,Friday,15
2016,12,23,Friday,16
2016,12,23,Friday,17
2016,12,23,Friday,18
2016,12,23,Friday,19
2016,12,23,Friday,20
2016,12,23,Friday,21
2016,12,23,Friday,22
2016,12,23,Friday,23
2016,12,24,Saturday,0
2016,12,24,Saturday,1
